Achievements/AC01_DESC: 击败默哀守望者
BOSSES/DLG_BS203_01_1: 奇迹把我变成了它神圣家园的哨兵。这是我的新使命
BOSSES/DLG_BS203_01_2: 除了那调和我们伤痛的眩目灰光，和那无际的地平线，你究竟期望在这里找到什么？
BOSSES/DLG_BS203_01_3: 路中之路已经终结，你的忏悔亦是如此
BOSSES/DLG_BS203_02_0: 在无所不知、无所不能的奇迹的欲望面前，退缩毫无意义
BOSSES/DLG_BS203_03_0: 流血，只有流血才能让我们更接近真正的圣洁
BOSSES/DLG_BS203_04_0: 我内脏生出的恶寒是什么？是灵魂、思想和存在的死亡吗？
BOSSES/DLG_BS203_05_0: 我的最终任务完成了
BOSSES/DLG_BS203_05_1: 我要去，所有爱我的人也要去
BOSSES/DLG_BS203_05_2: 现在，我要沉浸在这片云的土地上，在这片满是尘埃和微光的土地上
BOSSES/DLG_BS203_06_0: 现在，让你的躯体如我一样，浴血于此吧
BOSSES/DLG_BS203_06_1: 这里将是你最后的安息之所，但这里没有人能照看你
Bosses/AMANECIDA1_NAME: 金刃阿马内奇达
Bosses/AMANECIDA2_NAME: 玉矢阿马内奇达
Bosses/AMANECIDA3_NAME: 雕钢阿马内奇达
Bosses/AMANECIDA4_NAME: 熔棘阿马内奇达
Bosses/ANGUISH_NAME: 特雷斯·安古斯塔斯
Bosses/BEJEWELED_NAME: 梅尔基亚德斯，掘墓大主教
Bosses/BLINDBABY_NAME: 弃婴，放逐之裔
Bosses/BURNTFACE_NAME: 焦容圣母
Bosses/CRISANTA_NAME: 克兰莎，束裹之痛
Bosses/ELDERBROTHER_NAME: 默哀守望者
Bosses/ESDRAS_NAME: 圣膏军的埃达斯
Bosses/ISIDORA_NAME: 伊西多拉，亡者之声
Bosses/LAUDES_NAME: 罗拉德斯，首位阿马内奇达
Bosses/PIETY_NAME: 特彼达德
Bosses/PONTIFF2_NAME: 奇迹幼子
Bosses/PONTIFF_NAME: 埃斯科利巴圣王
Bosses/QUIRCE_NAME: 奎尔斯，浴火归来者
Bosses/SIERPES_NAME: 毒蛇
CUTSCENE/CTS04-Dagger_Lady_0: 以虔诚看见我痛苦内心的眼睛有福了
CUTSCENE/CTS04-Dagger_Lady_1: 在患难与禁食中快乐的，来到我这里，因为它们是美好的苦行
CUTSCENE/CTS04-Dagger_Lady_2: 六次剧痛刺穿了我美丽的胸膛：拔出第一次，净化你灵魂的六处污点之一
CUTSCENE/CTS07-Deosgracias_0: 你所寻求的，乃是苦难的摇篮
CUTSCENE/CTS07-Deosgracias_1: 这可以在众教会万母之母中找到
CUTSCENE/CTS09-EndingB_0: 那吞灭罪恶和罪人的灰山，也不会怜恤你们
CUTSCENE/CTS09-EndingB_1: 你过去在奇迹的主宰之下，如今也仍在奇迹的主宰之下
CUTSCENE/CTS09-EndingB_2: 你不再是任何东西，只是一个匿名的面孔，没有声音，没有手势
CUTSCENE/CTS09-EndingB_3: 你的忏悔已经结束
CUTSCENE/CTS102-Santos1_0: 当扭曲者出现在公众面前时，五人众护卫着他。那时他仍然生活在痛苦和虔诚的神圣牢笼中，依靠并扎根在一棵树上，伫立在哭泣和裂缝之间
CUTSCENE/CTS102-Santos1_1: 那是很久以前的事了…是的，很久以前…
CUTSCENE/CTS102-Santos1_2: 赛塔便唱响在了它们之间。队伍越走越远，令所有人都得知了圣父再次受到了动摇
CUTSCENE/CTS103-Santos2_0: 罗拉德斯是首位阿马内奇达，她有着无限的热情。她对扭曲者是如此的忠诚，以至于她的身体都无法承受这点
CUTSCENE/CTS103-Santos2_1: 一天晚上，她感到皮肤上的毛孔纷纷打开，她的热情开始从毛孔里流出来，变成了金色的液体
CUTSCENE/CTS103-Santos2_2: 在那个漫长的夜晚，至高意志编织成了那条细线，创造了其他四个女人的身体。它们正是罗拉德斯激情的化身
CUTSCENE/CTS106-LaudesIntro_0: 塞塔，哀恸之歌动人心弦，曾让我墓中的明镜为之破碎，如今就让它再放光明吧。荒野召唤者赛塔，点亮这五双死气沉沉的眼眸吧！
CUTSCENE/CTS106-LaudesIntro_1: 这千年的苦痛是我的责罚，透心彻骨，宛如剧毒。我那被封印的热忱便是我的忏悔。贞正之力庇佑吾身。这一切都是因我而成，是我让这份热忱驻于我心。
CUTSCENE/CTS106-LaudesIntro_2: 予夺之要，皆在奇迹。
CUTSCENE/IntroBrotherhood_0: 这是我的罪过，故我将你收下，苦痛奇迹
CUTSCENE/IntroBrotherhood_1: 让悲痛伤害我的胸膛
CUTSCENE/IntroBrotherhood_2: 铸造你的惩戒，并深深地钉住它
CUTSCENE/IntroBrotherhood_3: 再次铸造我的罪过
CUTSCENE/IntroDeosgracias_0: 因此，所有种类的灵魂的罪过、悔改、哀痛和痛苦，都在我们所有人的身上，在任何地方都明显和具体地表现了出来
CUTSCENE/IntroDeosgracias_1: 有时以祝福和恩典的形式，有时则是以惩罚和腐败的形式
CUTSCENE/IntroDeosgracias_2: 那种等同于虔诚和残酷的神圣意志，那种我们不能、也永远无法解开的意志，就是所谓的「奇迹」
CUTSCENE/MeaCulpa_0: 忏悔者，你把痛苦的罪恶握在你干裂的手中…
CUTSCENE/MeaCulpa_1: 把它借给我们，减轻我们的负担
CUTSCENE/MeaCulpa_2: 把它借给我们，消弭我们的眼泪
CUTSCENE/MeaCulpa_3: 因为这是一种悔罪的行为
CUTSCENE/PontiffEvent1_0: 我们的请求没有答案，奇迹已经抛弃了我们，我华丽的宝座背对着那些在这里等待的人
CUTSCENE/PontiffEvent2_0: 我感到我的血变成了黑色的汁液，我的老皮肤变成了红色的树皮
CUTSCENE/PontiffEvent3_0: 我从枯树的最高处看到了一切，奇迹正是在这枯树里让我转世
CUTSCENE/PontiffEvent4_0: 我从里到外地燃烧，我的烟是掩盖一切的雾
CUTSCENE/PontiffEvent5_0: 我从曾经是我摇篮的银灰中醒来。奇迹召唤着我
CollectibleItem/CO01_CAPTION: 裁判官拉瑟的头盖骨
CollectibleItem/CO01_DESCRIPTION: 拉瑟与其他裁判官不同，他对被控告之人心怀同情，甚至想要废除极刑。此人软弱不堪，已被革籍流放
CollectibleItem/CO02_CAPTION: 裁判官艾仕甘的下巴
CollectibleItem/CO02_DESCRIPTION: 艾仕甘拼尽一切严刑拷打，企图以此寻求自己信条的真相，他甚至对祭司们也痛下黑手。但是此举只能让他陷入无尽的悔恨
CollectibleItem/CO03_CAPTION: 酒师齐赫的颈椎
CollectibleItem/CO03_DESCRIPTION: 酒师齐赫酿造的酒闻名海内，但这也使他所在的修道院臭名昭著。他在夜间被处以火刑，他的传奇也随烈焰升入天堂
CollectibleItem/CO04_CAPTION: 学童道海森的锁骨
CollectibleItem/CO04_DESCRIPTION: 人们找他找了好几天，结果在森林里发现了马克的遗骸。自此之后，坊间就有传言说恶魔会骑着会飞的山羊从天边而来
CollectibleItem/CO05_CAPTION: 演员维塔斯的胸骨
CollectibleItem/CO05_DESCRIPTION: 古斯托迪亚还记得自己对维塔斯·瓦纳斯钦慕有加。他会用自己无私的行动和振奋人心的话语来激励百姓
CollectibleItem/CO06_CAPTION: 卫兵萨诺克的肋骨
CollectibleItem/CO06_DESCRIPTION: 萨诺克是圣膏军中的一员，他守卫着奇异魔印。即便是混乱降临，他已然坚守着城镇的大门
CollectibleItem/CO07_CAPTION: 赌鬼约翰的脊椎
CollectibleItem/CO07_DESCRIPTION: 约翰·冯·加默兰明兹赌术高超，大家都觉得他的命运定是由至高意志指引。等到他的好运到头了，他的生命也就到头了
CollectibleItem/CO08_CAPTION: 刽子手卡洛斯的肩胛骨
CollectibleItem/CO08_DESCRIPTION: 此人有多讨厌人类，就有多喜欢动物。有一次一只狗咬了主教，他被勒令处死这只狗，他拒绝了，这是卡洛斯第一次拒绝，也是最后一次
CollectibleItem/CO09_CAPTION: 护士麦克米腾斯的肱骨
CollectibleItem/CO09_DESCRIPTION: 麦克米腾斯是一名护士，同时也喜爱小猫，他救下的生命不计其数，其中有人，也有其他生物。他受不了去救治那些杀人狂魔，他们对生命没有丝毫尊重，于是他选择了自裁
CollectibleItem/CO10_CAPTION: 游吟诗人柯克的尺骨
CollectibleItem/CO10_DESCRIPTION: 裁判官对音乐十分鄙视，因为这会令人耽于欢愉，柯克觉得写首讽刺小曲儿在公共场合下嘲弄一下这些老官僚没什么不妥。随着他被处以极刑，音乐禁令算是完全落实了
CollectibleItem/CO11_CAPTION: 诗人黑尔泽的桡骨
CollectibleItem/CO11_DESCRIPTION: 诗人约翰·克拉克·黑尔泽的作品生前无人问津，死后举世文明，尤其是他的「红叶诗」。人们发现这首诗时，是在他的尸体旁，而他则被一棵倒下的树砸死
CollectibleItem/CO12_CAPTION: 绳匠马丁努斯的额骨
CollectibleItem/CO12_DESCRIPTION: 有人诬陷匠人马丁努斯·哈弗尼亚贩卖劣质绳索，他被处以绞刑，用的则是他亲手制造的绳子。那天，他用一死向世人证明自己的绳子没毛病
CollectibleItem/CO13_CAPTION: 铁匠霍奇斯的掌骨
CollectibleItem/CO13_DESCRIPTION: 铁匠布伦丹·霍奇斯为古斯托迪亚铸造了许多精美绝伦的武器，圣膏军使用的武器就出自他的手中。他命中注定要死于自己铸造的刀剑之下，这一切都是命运的安排
CollectibleItem/CO14_CAPTION: 水手亚瑟的指骨
CollectibleItem/CO14_DESCRIPTION: 此人一生都在寻找神秘的图腾，这可以证明世上真的存在海底城堡，而保卫城堡的，则是汹涌的浪涛
CollectibleItem/CO15_CAPTION: 参赞米里亚姆的指骨
CollectibleItem/CO15_DESCRIPTION: 米里亚姆·巴尔托深谙成功之道，但命运却难以预知。虽然她身染重疾死于非命，但深爱她的人们都将她的遗产视作不朽奇迹
CollectibleItem/CO16_CAPTION: 掘墓人布兰农的指骨
CollectibleItem/CO16_DESCRIPTION: 布兰农·约书亚·穆伦斯一生掘墓无数，朋友、家人、敌人都葬于他挖的墓中…但当混沌降临时，却没有人来为他掘墓
CollectibleItem/CO17_CAPTION: 妓女琼恩的髋骨
CollectibleItem/CO17_DESCRIPTION: 琼恩·莎夜斯在教区可谓人尽皆知，她勾引许多祭司，使他们贞纯的意志与誓言堕落，不过当第一缕灰落到地上时，她的好日子就到头了
CollectibleItem/CO18_CAPTION: 暗黑术士的骶骨
CollectibleItem/CO18_DESCRIPTION: 这名祭司人称「暗黑之人」，是「无言图书馆」的创立者。当他被抓捕时，他正在修炼巫术，身边全是异教书文
CollectibleItem/CO19_CAPTION: 狂人丹尼尔尾椎
CollectibleItem/CO19_DESCRIPTION: 据说丹尼尔在城堡中出现，他宣称自己在睡觉时被一个黑影占据，并且自称一直在与地下的邪恶生物维持着联系
CollectibleItem/CO20_CAPTION: 赏金猎人卡尔波的股骨
CollectibleItem/CO20_DESCRIPTION: 赏金猎人卡尔波诨名「猛汉」，在古斯托迪亚教区令人闻风丧胆。他秉持着这么一条座右铭：「一无所有，则一无所惧」
CollectibleItem/CO21_CAPTION: 木偶艺人塞巴斯蒂安的膝盖骨
CollectibleItem/CO21_DESCRIPTION: 塞巴斯蒂安·沃迪亚身边全是木偶，对他来说这就是他的家人。一天夜里他的剧院燃起了大火，他高呼：「我看哪个敢动！」呼声响彻黑夜，之后他也消失在了火海中
CollectibleItem/CO22_CAPTION: 神秘人奥萨利的胫骨
CollectibleItem/CO22_DESCRIPTION: 奥萨利从不相信古斯托迪亚教区的权威，他甚至宣称自己能直接与至高意志相交通：「保持热情，这就是秘密所在」
CollectibleItem/CO23_CAPTION: 巡林客莱斯普的腓骨
CollectibleItem/CO23_DESCRIPTION: 莱斯普·斯克林肖敢于夜闯深林，可谓无人不晓。在他看来，深林可以帮助他思考何谓「超然」，超出至高意志的「超然」
CollectibleItem/CO24_CAPTION: 盗贼约尔的颞骨
CollectibleItem/CO24_DESCRIPTION: 约尔劫富济贫，可谓侠盗。有一天他太过大胆，在窃取主教的圣衣时被当场擒获。之后他便被处以古斯托迪亚最为严酷的刑罚
CollectibleItem/CO25_CAPTION: 旅人陆书的跖骨
CollectibleItem/CO25_DESCRIPTION: 人们对陆书的身世一无所知，但是见过他的人都表示陆书有一个亮闪闪的奇异小盘子，可以发出微小的声音
CollectibleItem/CO26_CAPTION: 囚犯泽斯的指骨
CollectibleItem/CO26_DESCRIPTION: 泽斯·科西嘉被判处终身禁闭，他逐渐自言自语说起了一些话语，这莫非就是他自杀的原因？
CollectibleItem/CO27_CAPTION: 打假能手威廉的指骨
CollectibleItem/CO27_DESCRIPTION: 威廉·古拉夫倾尽毕生经历揭露江湖骗子和卫道士的丑恶嘴脸。他甚至对古斯托迪亚教会的一些成员发出了质疑。教会对这种异端邪说定是不能轻饶
CollectibleItem/CO28_CAPTION: 档案员阿拉卡林的指骨
CollectibleItem/CO28_DESCRIPTION: 阿拉卡林是「无言图书馆」的档案员，相较于扭曲者，他对古斯托迪亚的著作更感兴趣，这也使得他惨遭流放
CollectibleItem/CO29_CAPTION: 金匠特基拉的枕骨
CollectibleItem/CO29_DESCRIPTION: 特基拉不是一般的金匠，他主要是做头骨加工工作，专门在上面镶宝石。他的遗愿便是成为自己藏品之中最华美的一颗。
CollectibleItem/CO30_CAPTION: 教士塔拉达克斯的上颌
CollectibleItem/CO30_DESCRIPTION: 尼哥德慕·塔拉达克斯包容和蔼，举止优雅，谁都可以去他的教堂避难。人们在圣器室发现了一堆骨头后，他的真实意图才公之于众
CollectibleItem/CO31_CAPTION: 艺术大师查尔斯的鼻骨
CollectibleItem/CO31_DESCRIPTION: 此人的作品极为华美，在教会中引起了极大的争论。有人认为，生命才是世界上最美的东西，不应该有东西比生命更美。屈莱顿的藏品被悉数查抄，他从此也被世人遗忘
CollectibleItem/CO32_CAPTION: 乞丐森纳士的舌骨
CollectibleItem/CO32_DESCRIPTION: 森纳士终其一生都在痛苦中度过，使得他的灵魂更为煎熬。只有当他将痛苦视为生命的一部分时，他才真正找到了痛苦的意义
CollectibleItem/CO33_CAPTION: 锻工林奎斯特的椎骨
CollectibleItem/CO33_DESCRIPTION: 都是托林奎斯特的福，古斯托迪亚才有杳杳钟声。这名锻工恐怕永远也无法见到他的杰作「洪多」完工了
CollectibleItem/CO34_CAPTION: 绞刑官耶利米的大多角骨
CollectibleItem/CO34_DESCRIPTION: 数十年来，耶利米·施威格吊死的囚犯数以千计，他坚信，自己的事业崇高神圣。而当他的脑中产生疑惑时，他的一生也被这份懊悔所毁了
CollectibleItem/CO35_CAPTION: 珠宝匠耶格的小多角骨
CollectibleItem/CO35_DESCRIPTION: 泰兰特·耶格的家人惨遭冤枉，裁判官艾仕甘下令将他们烧死。耶格被仇恨蒙蔽了双眼，他用家人的遗骸铸造了一枚戒指，据说至今仍被诅咒
CollectibleItem/CO36_CAPTION: 令官巴罗克的头状骨
CollectibleItem/CO36_DESCRIPTION: 无论是极刑还是鞭刑，巴罗克都会高声宣令，后来他渐渐地不再高声宣令，因为他要念的是他全家的判决令
CollectibleItem/CO37_CAPTION: 书吏伏柯里希的钩骨
CollectibleItem/CO37_DESCRIPTION: 伏柯里希掌管教印，他在以权谋私偷取奥术禁书的时候被人抓获。从那天之后，他就再也无法抄书了
CollectibleItem/CO38_CAPTION: 探险家赫南德斯的豌豆骨
CollectibleItem/CO38_DESCRIPTION: 维克托·赫南德斯被任命为探险队长前去教化蛮夷部落，但是他却宣称古斯托迪亚是世上最野蛮的地方，如此异教邪说使得他惹祸上身
CollectibleItem/CO39_CAPTION: 裁缝卢卡的三角骨
CollectibleItem/CO39_DESCRIPTION: 他梦想着为贵族们缝制华美的服饰，但是他死到临头之际，只能为自己缝制火刑囚服
CollectibleItem/CO40_CAPTION: 屠夫凯亚的月骨
CollectibleItem/CO40_DESCRIPTION: 他之所以人送绰号「屠夫」，并非因为他是屠猪杀狗之辈，而是因为他在战场上杀敌斩将如砍瓜切菜。他这狂乱的性子即便是腐败之风也改变不了
CollectibleItem/CO41_CAPTION: 麻风患者菲尔斯的舟状骨
CollectibleItem/CO41_DESCRIPTION: 菲尔斯的家人、村庄甚至其他麻风病人都对其弃之如敝履，他在亵渎之池的坑道中暂避一时，此时他发现自己的声音会回应自己，于是便找到了慰藉
CollectibleItem/CO42_CAPTION: 朝圣者韦斯顿的踝骨
CollectibleItem/CO42_DESCRIPTION: 韦斯顿的行侣向他保证说明天会在下一个避难所等他。但是当他第二天到了那里时，却没发现有人，就连第二天也没有什么人
CollectibleItem/CO43_CAPTION: 土匪珀希安的跟骨
CollectibleItem/CO43_DESCRIPTION: 珀希安劫起道来可不论贫富，村民们对这个孤胆悍匪可谓闻风丧胆。某日他被杀死在了阿尔贝罗，谁也没有同情他。
CollectibleItem/CO44_CAPTION: 杀手坎尼忽的舟状骨
CollectibleItem/CO44_DESCRIPTION: 坎尼忽虽然不是很精明，但骗商人和教士上钩还是有两手的，他会杀掉他们，然后拿走他们的财物
GENERIC/DLG_QUESTION_ASSENT_0: 同意吗？
GENERIC/DLG_QUESTION_ASSENT_ANSWER_0: 同意
GENERIC/DLG_QUESTION_ASSENT_ANSWER_1: 拒绝
GENERIC/DLG_QUESTION_BUY_0: 购买吗？
GENERIC/DLG_QUESTION_BUY_ANSWER_0: 买
GENERIC/DLG_QUESTION_BUY_ANSWER_1: 不
GENERIC/DLG_QUESTION_GIVE_0: 给予吗？
GENERIC/DLG_QUESTION_GIVE_ANSWER_0: 给
GENERIC/DLG_QUESTION_GIVE_ANSWER_1: 不
GENERIC/DLG_QUESTION_MEACULPA_0: 接受孽刃挑战吗？
GENERIC/DLG_QUESTION_MEACULPA_ANSWER_0: 接受
GENERIC/DLG_QUESTION_MEACULPA_ANSWER_1: 拒绝
GENERIC/DLG_QUESTION_OFFER_0: 献上贡品吗？
GENERIC/DLG_QUESTION_OFFER_ANSWER_0: 献上
GENERIC/DLG_QUESTION_OFFER_ANSWER_1: 不
GENERIC/DLG_QUESTION_YESNO_0: 接受吗？
GENERIC/DLG_QUESTION_YESNO_ANSWER_0: 是
GENERIC/DLG_QUESTION_YESNO_ANSWER_1: 不
GENERIC/MSG_NOANSWER_0: 没有回答
GENERIC/MSG_NOOFFERINGS_0: 你没有可用的贡品
GENERIC/MSG_NOTENOUGHSAP_0: 你没有足够的赎罪之泪
GENERIC/MSG_NOTHINGHAPPENED_0: 无事发生
GENERIC/QUESTION_ACTIVATE_0: 激活吗？
GENERIC/QUESTION_ACTIVATE_ANSWER_0: 激活
GENERIC/QUESTION_ACTIVATE_ANSWER_1: 不
GENERIC/QUESTION_LIGHT_0: 点亮？
GENERIC/QUESTION_LIGHT_ANSWER_0: 点亮
GENERIC/QUESTION_LIGHT_ANSWER_1: 不点亮
GENERIC/QUESTION_USE_0: 使用？
GENERIC/QUESTION_USE_ANSWER_0: 使用
GENERIC/QUESTION_USE_ANSWER_1: 不使用
Map/D01: 城郊
Map/D01_Z01: 圣途
Map/D01_Z02: 阿尔贝罗
Map/D01_Z03: 葬堂荒野
Map/D01_Z04: 慈悲梦境
Map/D01_Z05: 亵渎之池
Map/D01_Z06: 坚如磐石
Map/D02: 封禁修道院
Map/D02_Z01: 橄榄枯萎之地
Map/D02_Z02: 群峰墓地
Map/D02_Z03: 焦容圣母修道院
Map/D02_Z04: 焦容圣母修道院
Map/D02_Z05: 群峰墓地
Map/D03: 青铜边境
Map/D03_Z01: 无尽黄昏山脉
Map/D03_Z02: 洪多
Map/D03_Z03: 怨念之崖
Map/D03_Z04: 怨念之崖
Map/D03_Z05: 怨念之崖
Map/D04: 万母之母
Map/D04_Z01: 静默台阶庭院
Map/D04_Z02: 万母之母
Map/D04_Z03: 三字之结
Map/D04_Z04: 海津之泪
Map/D05: 低阶教义
Map/D05_Z01: 无言图书馆
Map/D05_Z02: 沉睡画布
Map/D05_Z03: 沉睡画布
Map/D05_Z04: 沉睡画布
Map/D06: 大教堂屋顶
Map/D06_Z01: 大教堂屋顶
Map/D07: 圣王回廊
Map/D07_Z01: 圣王回廊
Map/D08: 骷髅地桥
Map/D08_Z01: 骷髅地桥
Map/D08_Z02: 环刚铁木
Map/D08_Z03: 黎明大厅
Map/D09: 神圣禁忌之墙
Map/D09_Z01: 神圣禁忌之墙
Map/D17: 默哀同道会
Map/D17_Z01: 默哀同道会
Map/D20: 雪盐回响
Map/D20_Z01: 雪盐回响
Map/D20_Z02: 哀伤与浩劫
Map/D20_Z03: 姐妹眠处
PROPS/DLG_CONFESSOR_NOTENOUGHPURGE_0: 当拥有足够的赎罪之泪时返回
PROPS/DLG_QT_ALTARDEMAKE_0: 想要进行游戏换取{purgepoints}
PROPS/DLG_QT_BAPTISMAL_DRINK_0: 用朝圣者油膏涂抹自己？
PROPS/DLG_QT_BAPTISMAL_DRINK_ANSWER_0: 涂抹
PROPS/DLG_QT_BAPTISMAL_DRINK_ANSWER_1: 不
PROPS/DLG_QT_CONFESSOR_0: 洗清你的罪过，换得{purgepoints}
PROPS/DLG_QUOTE_0: 「升起的不是太阳，而是我们的罪。」
PROPS/DLG_QUOTE_1: -无名氏
PROPS/MSG_BAPTISMAL_0: 信仰最大值已增加
PROPS/MSG_CONFESSOR_GUILTREMOVED_0: 罪过已赎清
PROPS/MSG_CONFESSOR_NOGUILT_0: 你摆脱了罪过
PROPS/MSG_ELEVATOR_NOTWORKING_0: 此机械需要钥匙来进行操作
PROPS/MSG_FERVOR_TUTORIAL_0: 攻击敌人以填充信仰读条
PROPS/MSG_HEART_WARNING_0: 纯绝孽刃之心在你的手中颤抖
PROPS/MSG_ITEM_TUTORIAL_0: 为使用此祷文，请开启库存并装备它
PROPS/MSG_LIBRARYPUZZLE1_0: 一本打开的解剖书，该页显示了股骨的插图
PROPS/MSG_LIBRARYPUZZLE2_0: 一本打开的解剖书，该页显示了膝盖骨的插图
PROPS/MSG_LIBRARYPUZZLE3_0: 一本打开的解剖书，该页显示了胫骨的插图
PROPS/MSG_MEACULPA_TUTORIAL_0: 与孽刃祭坛互动来解锁你的技能
PROPS/MSG_SANTOS_CAVE_0: 石化之钟凄凉地敲响了。
Prayer/PR01_CAPTION: 星目颂歌
Prayer/PR01_DESCRIPTION: 歌颂夜空的小诗。使忏悔者满怀义人之怒，在一段时间内提升其攻击速度 
